02/27/2022 Test 1,h=0.005,t=2 seconds
Time,Total Energy,q1,q2,q3,q4,q5,q6,q7,q1d,q2d,q3d,q4d,q5d,q6d,q7d
0.600000,59.799018,1.62055,-0.345002,0.827339,-0.48325,0.147332,0.151903,0.15058,0.0885643,0.0817274,0.0629424,0.0569589,0.0801628,0.0963876,0.0915947,
0.605000,59.781126,1.62099,-0.344593,0.827653,-0.482966,0.147732,0.152386,0.151038,0.0886452,0.0817529,0.0628238,0.0567743,0.0801668,0.0965494,0.0917074,
0.610000,59.763230,1.62143,-0.344185,0.827967,-0.482682,0.148133,0.152869,0.151497,0.0887261,0.0817784,0.0627053,0.0565896,0.0801707,0.0967115,0.0918202,
0.615000,59.745331,1.62188,-0.343776,0.82828,-0.4824,0.148534,0.153353,0.151957,0.0888069,0.0818039,0.062587,0.0564048,0.0801745,0.0968737,0.0919331,
0.620000,59.727429,1.62232,-0.343366,0.828593,-0.482118,0.148935,0.153838,0.152417,0.0888877,0.0818294,0.0624689,0.05622,0.0801781,0.0970362,0.092046,
0.625000,59.709523,1.62277,-0.342957,0.828905,-0.481837,0.149336,0.154323,0.152877,0.0889684,0.0818548,0.062351,0.0560352,0.0801815,0.0971988,0.092159,
0.630000,59.691614,1.62321,-0.342548,0.829216,-0.481558,0.149737,0.15481,0.153338,0.089049,0.0818803,0.0622333,0.0558502,0.0801849,0.0973616,0.092272,
0.635000,59.673701,1.62366,-0.342138,0.829527,-0.481279,0.150138,0.155297,0.1538,0.0891296,0.0819057,0.0621157,0.0556652,0.080188,0.0975247,0.0923851,
0.640000,59.655786,1.6241,-0.341729,0.829837,-0.481001,0.150539,0.155785,0.154262,0.0892102,0.0819311,0.0619984,0.0554802,0.0801911,0.0976879,0.0924982,
0.645000,59.637867,1.62455,-0.341319,0.830147,-0.480724,0.15094,0.156274,0.154725,0.0892907,0.0819565,0.0618812,0.0552951,0.080194,0.0978514,0.0926114,
0.650000,59.619944,1.625,-0.340909,0.830456,-0.480448,0.151341,0.156763,0.155188,0.0893711,0.0819819,0.0617643,0.0551099,0.0801967,0.0980151,0.0927246,
0.655000,59.602019,1.62544,-0.340499,0.830765,-0.480173,0.151742,0.157254,0.155652,0.0894515,0.0820073,0.0616475,0.0549247,0.0801993,0.0981789,0.0928379,
0.660000,59.584090,1.62589,-0.340089,0.831073,-0.479899,0.152143,0.157745,0.156116,0.0895318,0.0820327,0.0615309,0.0547394,0.0802018,0.098343,0.0929512,
0.665000,59.566157,1.62634,-0.339679,0.83138,-0.479626,0.152544,0.158237,0.156581,0.0896121,0.082058,0.0614145,0.0545541,0.0802041,0.0985073,0.0930646,
0.670000,59.548222,1.62679,-0.339269,0.831687,-0.479353,0.152945,0.15873,0.157047,0.0896923,0.0820834,0.0612983,0.0543687,0.0802063,0.0986717,0.093178,
0.675000,59.530283,1.62724,-0.338858,0.831993,-0.479082,0.153346,0.159224,0.157513,0.0897725,0.0821087,0.0611822,0.0541833,0.0802083,0.0988364,0.0932915,
0.680000,59.512341,1.62769,-0.338448,0.832299,-0.478812,0.153747,0.159719,0.15798,0.0898526,0.082134,0.0610664,0.0539978,0.0802102,0.0990013,0.0934051,
0.685000,59.494396,1.62813,-0.338037,0.832604,-0.478542,0.154148,0.160214,0.158447,0.0899326,0.0821594,0.0609507,0.0538122,0.080212,0.0991664,0.0935187,
0.690000,59.476448,1.62858,-0.337626,0.832908,-0.478273,0.154549,0.16071,0.158915,0.0900126,0.0821847,0.0608353,0.0536266,0.0802136,0.0993316,0.0936323,
0.695000,59.458497,1.62903,-0.337215,0.833212,-0.478006,0.15495,0.161207,0.159384,0.0900926,0.08221,0.06072,0.0534409,0.0802151,0.0994971,0.093746,
0.700000,59.440542,1.62949,-0.336804,0.833515,-0.477739,0.155351,0.161705,0.159853,0.0901725,0.0822352,0.0606049,0.0532552,0.0802164,0.0996628,0.0938598,
0.705000,59.422584,1.62994,-0.336393,0.833818,-0.477473,0.155752,0.162204,0.160322,0.0902523,0.0822605,0.0604899,0.0530694,0.0802176,0.0998287,0.0939736,
0.710000,59.404623,1.63039,-0.335981,0.83412,-0.477208,0.156153,0.162704,0.160792,0.0903321,0.0822858,0.0603752,0.0528835,0.0802187,0.0999948,0.0940875,
0.715000,59.386659,1.63084,-0.33557,0.834422,-0.476944,0.156554,0.163204,0.161263,0.0904118,0.082311,0.0602606,0.0526976,0.0802196,0.100161,0.0942014,
0.720000,59.368691,1.63129,-0.335158,0.834723,-0.476681,0.156955,0.163705,0.161734,0.0904915,0.0823363,0.0601463,0.0525116,0.0802204,0.100328,0.0943153,
0.725000,59.350721,1.63174,-0.334746,0.835023,-0.476419,0.157356,0.164207,0.162206,0.0905711,0.0823615,0.0600321,0.0523256,0.0802211,0.100494,0.0944294,
0.730000,59.332747,1.6322,-0.334335,0.835323,-0.476158,0.157758,0.16471,0.162679,0.0906507,0.0823867,0.059918,0.0521395,0.0802216,0.100661,0.0945434,
0.735000,59.314771,1.63265,-0.333923,0.835622,-0.475898,0.158159,0.165214,0.163152,0.0907302,0.0824119,0.0598042,0.0519534,0.080222,0.100828,0.0946576,
0.740000,59.296791,1.63311,-0.33351,0.835921,-0.475639,0.15856,0.165718,0.163625,0.0908096,0.0824371,0.0596906,0.0517672,0.0802222,0.100996,0.0947718,
