h=0.005,t=5seconds
Time, Kinetic Energy, Potential Energy, Total Energy,q1,q2,q3,q4,q5,q6,q7,q1d,q2d,q3d,q4d,q5d,q6d,q7d
0.280000,2.740954,28.481442,31.222396,0.205019,0.200255,0.232354,0.257093,0.234719,0.143588,0.236138,0.727806,0.720373,0.868982,0.960639,0.910213,0.306227,0.930034,
0.285000,2.740954,28.291873,31.032827,0.208659,0.20386,0.236701,0.261886,0.239273,0.145107,0.240793,0.728281,0.721919,0.869658,0.9567,0.91118,0.301165,0.932078,
0.290000,2.740954,28.103047,30.844001,0.212302,0.207474,0.241051,0.26666,0.243831,0.1466,0.245459,0.728824,0.72355,0.870387,0.952514,0.912049,0.296285,0.934077,
0.295000,2.740954,27.914968,30.655922,0.215948,0.211096,0.245405,0.271412,0.248394,0.14807,0.250134,0.729438,0.725264,0.871171,0.948085,0.912817,0.291588,0.936029,
0.300000,2.740955,27.727639,30.468594,0.219596,0.214727,0.249762,0.276141,0.252959,0.149516,0.254819,0.730121,0.72706,0.872014,0.943415,0.913484,0.287073,0.937935,
0.305000,2.740955,27.541066,30.282021,0.223249,0.218366,0.254125,0.280846,0.257528,0.15094,0.259513,0.730875,0.728935,0.872919,0.938508,0.914045,0.282741,0.939794,
0.310000,2.740955,27.355252,30.096207,0.226905,0.222016,0.258492,0.285526,0.2621,0.152343,0.264217,0.7317,0.730887,0.873889,0.933367,0.914501,0.27859,0.941606,
0.315000,2.740955,27.170202,29.911157,0.230566,0.225675,0.262864,0.290179,0.266673,0.153726,0.268929,0.732595,0.732916,0.874926,0.927994,0.91485,0.274622,0.94337,
0.320000,2.740955,26.985919,29.726874,0.234231,0.229345,0.267241,0.294806,0.271248,0.15509,0.273651,0.733562,0.735019,0.876033,0.922394,0.915089,0.270835,0.945086,
0.325000,2.740955,26.802408,29.543364,0.237901,0.233026,0.271624,0.299403,0.275824,0.156434,0.27838,0.734601,0.737194,0.877214,0.91657,0.915218,0.267228,0.946754,
0.330000,2.740956,26.619674,29.360629,0.241577,0.236717,0.276013,0.303971,0.280401,0.157762,0.283118,0.735711,0.739439,0.878469,0.910525,0.915235,0.263801,0.948375,
0.335000,2.740956,26.437719,29.178675,0.245259,0.24042,0.280409,0.308509,0.284977,0.159073,0.287864,0.736893,0.741752,0.879803,0.904264,0.915139,0.260553,0.949946,
0.340000,2.740956,26.256549,28.997505,0.248946,0.244135,0.284811,0.313014,0.289552,0.160367,0.292618,0.738147,0.744132,0.881216,0.89779,0.91493,0.257481,0.95147,
0.345000,2.740956,26.076167,28.817123,0.25264,0.247861,0.289221,0.317487,0.294126,0.161647,0.297379,0.739474,0.746576,0.882711,0.891107,0.914606,0.254585,0.952945,
0.350000,2.740956,25.896577,28.637533,0.256341,0.2516,0.293638,0.321925,0.298698,0.162913,0.302147,0.740874,0.749082,0.884289,0.884219,0.914166,0.251864,0.954371,
0.355000,2.740956,25.717783,28.458740,0.260049,0.255352,0.298064,0.326329,0.303268,0.164166,0.306922,0.742346,0.751648,0.885954,0.87713,0.913609,0.249315,0.955749,
0.360000,2.740956,25.539790,28.280747,0.263764,0.259117,0.302498,0.330696,0.307834,0.165406,0.311704,0.743892,0.754272,0.887706,0.869844,0.912935,0.246937,0.957078,
0.365000,2.740956,25.362602,28.103558,0.267488,0.262895,0.306941,0.335027,0.312397,0.166635,0.316493,0.74551,0.756951,0.889547,0.862367,0.912144,0.244728,0.958359,
0.370000,2.740957,25.186221,27.927178,0.271219,0.266686,0.311393,0.33932,0.316956,0.167854,0.321288,0.747203,0.759684,0.89148,0.8547,0.911234,0.242686,0.959591,
0.375000,2.740957,25.010653,27.751610,0.27496,0.270492,0.315855,0.343574,0.321509,0.169062,0.326089,0.748969,0.762468,0.893504,0.84685,0.910206,0.240809,0.960775,
0.380000,2.740957,24.835902,27.576858,0.278709,0.274311,0.320328,0.347789,0.326058,0.170262,0.330896,0.750808,0.765302,0.895622,0.838821,0.909059,0.239094,0.961911,
0.385000,2.740957,24.661970,27.402927,0.282468,0.278145,0.324812,0.351962,0.3306,0.171453,0.335708,0.752722,0.768182,0.897836,0.830616,0.907793,0.237539,0.962999,
0.390000,2.740957,24.488864,27.229821,0.286236,0.281993,0.329307,0.356095,0.335135,0.172637,0.340526,0.754711,0.771107,0.900146,0.822241,0.906407,0.236142,0.96404,
0.395000,2.740957,24.316586,27.057543,0.290015,0.285856,0.333813,0.360185,0.339664,0.173815,0.345349,0.756774,0.774074,0.902553,0.813699,0.904902,0.2349,0.965033,
0.400000,2.740957,24.145140,26.886098,0.293804,0.289734,0.338332,0.364232,0.344185,0.174986,0.350176,0.758912,0.777081,0.905059,0.804996,0.903277,0.233811,0.965978,
0.405000,2.740957,23.974531,26.715489,0.297604,0.293627,0.342864,0.368235,0.348697,0.176153,0.355008,0.761125,0.780127,0.907665,0.796135,0.901532,0.232871,0.966876,
0.410000,2.740958,23.804763,26.545721,0.301415,0.297535,0.347409,0.372193,0.3532,0.177315,0.359845,0.763413,0.783208,0.910372,0.787122,0.899668,0.232079,0.967728,
0.415000,2.740958,23.635840,26.376798,0.305238,0.301459,0.351967,0.376106,0.357693,0.178473,0.364686,0.765777,0.786322,0.913181,0.777961,0.897685,0.231431,0.968533,
0.420000,2.740958,23.467766,26.208724,0.309073,0.305398,0.356541,0.379973,0.362177,0.179629,0.36953,0.768216,0.789467,0.916093,0.768656,0.895582,0.230924,0.969292,
0.425000,2.740958,23.300545,26.041502,0.31292,0.309353,0.361128,0.383793,0.366649,0.180783,0.374379,0.770732,0.792641,0.919109,0.759212,0.893359,0.230555,0.970005,
0.430000,2.740958,23.134181,25.875139,0.31678,0.313324,0.365732,0.387565,0.37111,0.181935,0.37923,0.773324,0.795841,0.922229,0.749633,0.891018,0.230322,0.970672,
0.435000,2.740958,22.968678,25.709637,0.320654,0.317312,0.370351,0.391289,0.375559,0.183086,0.384085,0.775992,0.799066,0.925456,0.739924,0.888558,0.230221,0.971295,
0.440000,2.740958,22.804042,25.545000,0.32454,0.321315,0.374986,0.394964,0.379996,0.184237,0.388943,0.778737,0.802313,0.928788,0.73009,0.885979,0.23025,0.971872,
0.445000,2.740959,22.640275,25.381234,0.328441,0.325335,0.379639,0.39859,0.384419,0.185388,0.393804,0.78156,0.805579,0.932228,0.720135,0.883282,0.230404,0.972406,
0.450000,2.740959,22.477383,25.218341,0.332356,0.329371,0.384308,0.402165,0.388829,0.186541,0.398667,0.78446,0.808862,0.935776,0.710064,0.880467,0.230682,0.972895,
0.455000,2.740959,22.315369,25.056328,0.336286,0.333423,0.388996,0.40569,0.393224,0.187695,0.403533,0.787437,0.812161,0.939433,0.69988,0.877535,0.231079,0.973342,
0.460000,2.740959,22.154239,24.895198,0.34023,0.337492,0.393703,0.409164,0.397604,0.188852,0.408401,0.790493,0.815473,0.9432,0.689589,0.874485,0.231593,0.973745,
0.465000,2.740959,21.993995,24.734955,0.34419,0.341578,0.398428,0.412586,0.401969,0.190011,0.41327,0.793627,0.818795,0.947077,0.679195,0.871319,0.23222,0.974105,
0.470000,2.740959,21.834644,24.575604,0.348167,0.34568,0.403174,0.415956,0.406317,0.191174,0.418142,0.79684,0.822125,0.951066,0.668702,0.868036,0.232958,0.974424,
0.475000,2.740959,21.676189,24.417149,0.352159,0.349799,0.407939,0.419273,0.410649,0.192341,0.423015,0.800132,0.825462,0.955166,0.658116,0.864637,0.233802,0.974701,
0.480000,2.740960,21.518636,24.259595,0.356168,0.353935,0.412725,0.422537,0.414964,0.193512,0.427889,0.803503,0.828802,0.95938,0.647439,0.861123,0.23475,0.974938,
0.485000,2.740960,21.361987,24.102947,0.360194,0.358087,0.417533,0.425748,0.41926,0.194688,0.432764,0.806955,0.832145,0.963707,0.636676,0.857493,0.235799,0.975133,
0.490000,2.740960,21.206249,23.947209,0.364237,0.362256,0.422362,0.428904,0.423539,0.19587,0.43764,0.810486,0.835487,0.968148,0.625833,0.853749,0.236945,0.975289,
0.495000,2.740960,21.051426,23.792386,0.368299,0.366442,0.427214,0.432006,0.427798,0.197058,0.442517,0.814098,0.838826,0.972704,0.614912,0.849891,0.238184,0.975406,
0.500000,2.740960,20.897523,23.638483,0.372378,0.370645,0.432089,0.435053,0.432037,0.198252,0.447394,0.817792,0.84216,0.977376,0.603919,0.845918,0.239514,0.975484,
0.505000,2.740961,20.744543,23.485504,0.376477,0.374864,0.436988,0.438045,0.436257,0.199453,0.452272,0.821566,0.845487,0.982165,0.592858,0.841833,0.240932,0.975524,
0.510000,2.740961,20.592494,23.333454,0.380594,0.3791,0.441911,0.440982,0.440456,0.200661,0.457149,0.825423,0.848806,0.987071,0.581732,0.837635,0.242433,0.975526,
0.515000,2.740961,20.441378,23.182339,0.384731,0.383352,0.446859,0.443863,0.444633,0.201877,0.462027,0.829362,0.852112,0.992096,0.570545,0.833324,0.244016,0.975491,
0.520000,2.740961,20.291202,23.032163,0.388888,0.387621,0.451832,0.446687,0.448789,0.203101,0.466904,0.833384,0.855406,0.99724,0.559303,0.828902,0.245676,0.97542,
0.525000,2.740962,20.141969,22.882931,0.393065,0.391906,0.456831,0.449456,0.452922,0.204334,0.471781,0.837489,0.858684,1.0025,0.548009,0.824369,0.247411,0.975313,
0.530000,2.740962,19.993686,22.734648,0.397263,0.396208,0.461857,0.452167,0.457033,0.205575,0.476657,0.841678,0.861944,1.00789,0.536666,0.819724,0.249217,0.975171,
0.535000,2.740962,19.846357,22.587319,0.401482,0.400525,0.46691,0.454822,0.46112,0.206826,0.481533,0.845951,0.865185,1.0134,0.52528,0.81497,0.251091,0.974994,
0.540000,2.740962,19.699988,22.440950,0.405722,0.404859,0.471991,0.45742,0.465182,0.208086,0.486407,0.850309,0.868403,1.01902,0.513854,0.810105,0.25303,0.974783,
0.545000,2.740962,19.554584,22.295546,0.409985,0.409209,0.4771,0.459961,0.469221,0.209356,0.491281,0.854752,0.871598,1.02478,0.502391,0.805131,0.255031,0.97454,
0.550000,2.740963,19.410149,22.151112,0.41427,0.413575,0.482239,0.462444,0.473234,0.210637,0.496153,0.859282,0.874767,1.03065,0.490896,0.800049,0.257091,0.974263,
0.555000,2.740963,19.266690,22.007653,0.418577,0.417957,0.487407,0.46487,0.477221,0.211927,0.501023,0.863897,0.877908,1.03666,0.479373,0.794858,0.259207,0.973955,
0.560000,2.740963,19.124212,21.865175,0.422909,0.422354,0.492605,0.467238,0.481182,0.213229,0.505892,0.8686,0.881019,1.04279,0.467825,0.789559,0.261375,0.973616,
0.565000,2.740964,18.982720,21.723684,0.427263,0.426767,0.497835,0.469548,0.485117,0.214541,0.51076,0.87339,0.884098,1.04904,0.456257,0.784154,0.263593,0.973246,
0.570000,2.740964,18.842220,21.583184,0.431642,0.431195,0.503096,0.4718,0.489024,0.215865,0.515625,0.878269,0.887143,1.05543,0.444671,0.778641,0.265857,0.972846,
0.575000,2.740964,18.702717,21.443681,0.436046,0.435639,0.508389,0.473995,0.492903,0.2172,0.520488,0.883236,0.890152,1.06194,0.433072,0.773023,0.268166,0.972416,
0.580000,2.740964,18.564218,21.305182,0.440475,0.440097,0.513715,0.476131,0.496754,0.218546,0.525349,0.888293,0.893123,1.06859,0.421463,0.767299,0.270515,0.971958,
0.585000,2.740965,18.426727,21.167692,0.444929,0.44457,0.519075,0.478209,0.500576,0.219905,0.530208,0.89344,0.896053,1.07537,0.409848,0.76147,0.272901,0.971472,
0.590000,2.740965,18.290251,21.031216,0.449409,0.449058,0.524469,0.48023,0.504369,0.221275,0.535064,0.898677,0.898942,1.08228,0.398231,0.755536,0.275323,0.970959,
0.595000,2.740965,18.154795,20.895760,0.453916,0.453559,0.529898,0.482192,0.508131,0.222658,0.539917,0.904006,0.901787,1.08932,0.386615,0.749499,0.277777,0.970419,
0.600000,2.740966,18.020365,20.761330,0.458449,0.458075,0.535362,0.484096,0.511864,0.224053,0.544768,0.909427,0.904587,1.0965,0.375003,0.743358,0.28026,0.969853,
0.605000,2.740966,17.886967,20.627933,0.46301,0.462605,0.540863,0.485942,0.515565,0.225461,0.549616,0.914941,0.907338,1.10381,0.3634,0.737114,0.28277,0.969262,
0.610000,2.740966,17.754608,20.495574,0.467599,0.467149,0.5464,0.48773,0.519235,0.226881,0.55446,0.920548,0.910039,1.11127,0.351808,0.730769,0.285304,0.968645,
0.615000,2.740966,17.623293,20.364259,0.472216,0.471706,0.551975,0.48946,0.522873,0.228314,0.559302,0.926249,0.912689,1.11886,0.340232,0.724322,0.287858,0.968005,
0.620000,2.740967,17.493028,20.233994,0.476861,0.476276,0.557589,0.491132,0.526478,0.229759,0.564141,0.932045,0.915285,1.12659,0.328674,0.717774,0.290432,0.967341,
0.625000,2.740967,17.363819,20.104786,0.481536,0.480858,0.563241,0.492747,0.53005,0.231218,0.568976,0.937936,0.917826,1.13446,0.317138,0.711126,0.29302,0.966655,
0.630000,2.740967,17.235673,19.976640,0.486241,0.485454,0.568933,0.494303,0.533589,0.232689,0.573807,0.943924,0.920309,1.14247,0.305627,0.704379,0.295622,0.965946,
0.635000,2.740968,17.108596,19.849563,0.490975,0.490062,0.574666,0.495803,0.537094,0.234174,0.578635,0.950009,0.922733,1.15063,0.294145,0.697532,0.298235,0.965215,
0.640000,2.740968,16.982594,19.723562,0.495741,0.494681,0.58044,0.497245,0.540565,0.235672,0.583459,0.956192,0.925095,1.15893,0.282695,0.690588,0.300855,0.964463,
0.645000,2.740968,16.857673,19.598642,0.500537,0.499313,0.586255,0.49863,0.544,0.237183,0.58828,0.962473,0.927395,1.16737,0.271281,0.683546,0.303481,0.963691,
0.650000,2.740969,16.733841,19.474809,0.505365,0.503955,0.592113,0.499958,0.5474,0.238707,0.593096,0.968854,0.929629,1.17597,0.259905,0.676408,0.30611,0.962899,
0.655000,2.740969,16.611102,19.352071,0.510226,0.508609,0.598015,0.501229,0.550764,0.240244,0.597909,0.975335,0.931796,1.18471,0.248571,0.669174,0.30874,0.962087,
0.660000,2.740969,16.489465,19.230434,0.515119,0.513273,0.60396,0.502443,0.554092,0.241794,0.602717,0.981916,0.933894,1.1936,0.237282,0.661845,0.311368,0.961257,
0.665000,2.740970,16.368934,19.109904,0.520045,0.517948,0.609951,0.503602,0.557383,0.243357,0.607521,0.9886,0.935921,1.20264,0.226042,0.654422,0.313991,0.960408,
0.670000,2.740970,16.249518,18.990488,0.525005,0.522632,0.615987,0.504704,0.560636,0.244934,0.612321,0.995385,0.937875,1.21183,0.214853,0.646906,0.316608,0.959541,
0.675000,2.740970,16.131222,18.872192,0.529999,0.527327,0.622069,0.50575,0.563852,0.246524,0.617117,1.00227,0.939755,1.22118,0.203719,0.639297,0.319216,0.958657,
0.680000,2.740971,16.014053,18.755024,0.535027,0.53203,0.628199,0.506741,0.567029,0.248126,0.621908,1.00927,0.941558,1.23068,0.192643,0.631597,0.321812,0.957757,
0.685000,2.740971,15.898018,18.638989,0.540091,0.536742,0.634376,0.507677,0.570168,0.249742,0.626694,1.01637,0.943283,1.24033,0.181628,0.623807,0.324396,0.956839,
0.690000,2.740971,15.783123,18.524095,0.545191,0.541463,0.640602,0.508557,0.573267,0.25137,0.631476,1.02357,0.944927,1.25014,0.170677,0.615928,0.326963,0.955906,
